Name,Cr,Co ,Mo ,Re,Ru,W,Al,Ti,Ta,Nb,V,Hf,Ni,Density (g/cm^3)
Nasair_100,9,0,1,0,0,10.5,5.75,1.2,3.3,0,0,0,Bal,8.54
CMSX-2,8,4.6,0.6,0,0,8,5.6,1,6,0,0,0,Bal,8.6
CMSX-6,9.8,5,3,0,0,0,4.8,4.7,2,0,0,0.1,Bal,7.98
PWA1480,10,5,0,0,0,4,5,1.5,12,0,0,0,Bal,8.7
SRR99,8,5,0,0,0,10,5.5,2.2,3,0,0,0,Bal,8.56
RR2000,10,15,3,0,0,0,5.5,4,0,0,1,0,Bal,7.87
Rene_N4,9,8,2,0,0,6,3.7,4.2,4,0.5,0,0,Bal,8.56
AM1,7.8,6.5,2,0,0,5.7,5.2,1.1,7.9,0,0,0,Bal,8.6
AM3,8,5.5,2.25,0,0,5,6,2,3.5,0,0,0,Bal,8.25
TMS-6,9.2,0,0,0,0,8.7,5.3,0,10.4,0,0,0,Bal,8.9
TMS-12,6.6,0,0,0,0,12.8,5.2,0,7.7,0,0,0,Bal,9.07
CMSX-4,6.5,9,0.6,3,0,6,5.6,1,6.5,0,0,0.1,Bal,8.7
PWA1484,5,10,2,3,0,6,5.6,0,8.7,0,0,0.1,Bal,8.95
Rene_N5,7,8,2,3,0,5,6.2,0,7,0,0,0.2,Bal,8.7
MC2,8,5,2,0,0,8,5,1.5,6,0,0,0,Bal,8.63
TMS-82+,4.9,7.8,1.9,2.4,0,8.7,5.3,0.5,6,0,0,0.1,Bal,8.93
CMSX-10,2,3,0.4,6,0,5,5.7,0.2,8,0.1,0,0.03,Bal,9.05
Rene_N6,4.2,12.5,1.4,5.4,0,6,5.75,0,7.2,0,0,0.15,Bal,8.97
TMS-75,3,12,2,5,0,6,6,0,6,0,0,0.1,Bal,8.89
MC-NG,4,0.2,1,4,4,5,6,0.5,5,0,0,0.1,Bal,8.75
MX4/,2,16.5,2,5.95,3,6,5.55,0,8.25,0,0,0.15,Bal,9.2
TMS-138,2.8,5.8,2.9,5.1,1.9,6.1,5.8,0,5.6,0,0,0.05,Bal,8.95
TMS-162,2.9,5.8,3.9,4.9,6,5.8,5.8,0,5.6,0,0,0.09,Bal,9.04
TMS-1,5.5,7.5,0,0,0,16.6,5.2,0,5.1,0,0,0,Bal,9.16
TMS-2,5.5,7.3,0,0,0,18.6,5.3,0,3.4,0,0,0,Bal,9.16
TMS-13,5.4,0,0,0,0,9.4,5.5,0,12.1,0,0,0,Bal,9.08
Exp. Alloy,0,0,0,0,0,0,5,0,25,0,0,0,Bal,9.27
Hastelloy S,15.5,0,15.5,0,0,0,0.2,0,0,0,0,0,Bal,8.76
B-1900,8,10,6,0,0,0,6,1,4.3,0,0,0,Bal,8.22
MAR-M 246,9,10,2.5,0,0,10,5.5,1.5,1.5,0,0,0,Bal,8.44
Nimocast 75,20,0,0,0,0,0,0,0.5,0,0,0,0,Bal,8.44
Udimet 500,18.5,16.5,3.5,0,0,0,3,3,0,0,0,0,Bal,8.02
Udimet 710,18,15,3,0,0,1.5,2.5,5,0,0,0,0,Bal,8.08
M-22,5.7,0,2,0,0,11,6.3,0,3,0,0,0,Bal,8.63
