Al at pc	Ti at pc	Mo at pc	Cr at pc	Al wt frac	Ti wt frac	Mo wt frac	Cr wt frac	Aging temp	Aging time	g’ solvus	g’ at frac	g’ lattice param	misfit	morphology	Al at pc g’	Ti at pc g’	Mo at pc g’	Cr at pc g’	Al wt pc g’	Ti wt pc g’	Mo wt pc g’	Cr wt pc g’
0.0647	0	0	0.1519	0.0314	0	0	0.1422	760	1000	800	0.03	3.5595	0.00571	0	0.165	0	0	0.072	0.084	0	0	0.071
0.0644	0	0.012	0.1495	0.031	0	0.0205	0.1387	760	1000	850	0.1	3.5645	0.005	0	0.164	0	0.018	0.043	0.082	0	0.033	0.042
0.065	0	0.0311	0.146	0.0309	0	0.0525	0.1338	760	1000	890	0.14	3.57	0.00304	0	0.167	0	0.032	0.043	0.083	0	0.056	0.041
0.0671	0	0.0516	0.1424	0.0315	0	0.0861	0.1288	760	1000	930	0.19	3.573	-0.00283	1	0.164	0	0.037	0.037	0.081	0	0.065	0.035
0.0888	0	0	0.1506	0.0437	0	0	0.1429	760	1000	950	0.18	3.56	0.00679	0	0.167	0	0	0.076	0.085	0	0	0.075
0.0885	0	0.0118	0.1481	0.0432	0	0.0205	0.1393	760	1000	970	0.23	3.5655	0.005	1	0.163	0	0.015	0.057	0.082	0	0.026	0.055
0.0896	0	0.0297	0.1443	0.0432	0	0.0509	0.1341	760	1000	1000	0.3	3.57	-0.00125	1	0.17	0	0.028	0.044	0.085	0	0.05	0.042
0.0907	0	0.048	0.1405	0.0432	0	0.0814	0.129	760	1000	1010	0.33	3.573	-0.00411	4	0.166	0	0.037	0.033	0.082	0	0.066	0.031
0.1161	0	0	0.1405	0.058	0	0	0.1353	760	1000	1060	0.34	3.561	-0.00036	2	0.162	0	0	0.07	0.082	0	0	0.069
0.1176	0	0.0115	0.1394	0.0583	0	0.0203	0.1332	760	1000	1080	0.42	3.566	-0.00125	2	0.16	0	0.013	0.048	0.08	0	0.024	0.046
0.1212	0	0.0284	0.1359	0.0595	0	0.0495	0.1286	760	1000	1090	0.47	3.5715	-0.00357	5	0.173	0	0.026	0.029	0.086	0	0.047	0.028
0.1209	0	0.0446	0.1342	0.0587	0	0.077	0.1256	760	1000	1100	0.48	3.5745	-0.01214	6	0.164	0	0.037	0.046	0.081	0	0.065	0.044
0.02	0.0412	0	0.1514	0.0105	0.0349	0	0.1394	760	1000	925	0.12	3.5895	0.03071	5	0.078	0.138	0	0.022	0.038	0.121	0	0.021
0.02	0.0408	0.0119	0.1493	0.0104	0.0343	0.02	0.1363	760	1000	930	0.13	3.59	0.02732	4	0.073	0.144	0.0039	0.02	0.036	0.126	0.007	0.019
0.022	0.0409	0.0296	0.1459	0.0104	0.034	0.0493	0.1317	760	1000	950	0.15	3.5915	0.01929	2	0.075	0.124	0.0063	0.013	0.036	0.108	0.011	0.012
0.021	0.0414	0.0484	0.1425	0.0102	0.034	0.0796	0.127	760	1000	980	0.16	3.5925	0.01161	0	0.076	0.128	0.0092	0.012	0.037	0.111	0.016	0.011
0.0888	0	0	0.1506	0.0437	0	0	0.1429	927	100	950	0.05	3.5615	0.00393	0	0.193	0	0	0.085	0.1	0	0	0.085
0.0885	0	0.0118	0.1481	0.0432	0	0.0205	0.1393	927	100	970	0.08	3.5655	0.00125	1	0.178	0	0.01	0.071	0.091	0	0.018	0.07
0.0896	0	0.0297	0.1443	0.0432	0	0.0509	0.1341	927	100	1000	0.13	3.569	-0.00214	4	0.162	0	0.022	0.053	0.081	0	0.039	0.051
0.0907	0	0.048	0.1405	0.0432	0	0.0814	0.129	927	100	1010	0.17	3.5725	-0.00875	6	0.163	0	0.031	0.042	0.081	0	0.055	0.04
0.1161	0	0	0.1405	0.058	0	0	0.1353	927	100	1060	0.2	3.5625	0.00179	2	0.168	0	0	0.077	0.086	0	0	0.076
0.1176	0	0.0115	0.1394	0.0583	0	0.0203	0.1332	927	100	1080	0.29	3.567	-0.00089	4	0.168	0	0.012	0.062	0.085	0	0.021	0.06
0.1212	0	0.0284	0.1359	0.0595	0	0.0495	0.1286	927	100	1090	0.33	3.566	-0.00679	6	0.164	0	0.025	0.047	0.082	0	0.045	0.045
0.1209	0	0.0446	0.1342	0.0587	0	0.077	0.1256	927	100	1100	0.32	3.5745	-0.001696	6	0.171	0	0.033	0.044	0.085	0	0.058	0.043
0.02	0.0412	0	0.1514	0.0105	0.0349	0	0.1394	927	100	925	0.03	3.5885	0.02571	6	0.075	0.131	0	0.021	0.037	0.115	0	0.02
0.02	0.0408	0.0119	0.1493	0.0104	0.0343	0.02	0.1363	927	100	930	0.04	3.5895	0.0216	5	0.077	0.133	0.0028	0.022	0.038	0.116	0.005	0.021
0.022	0.0409	0.0296	0.1459	0.0104	0.034	0.0493	0.1317	927	100	950	0.05	3.5905	0.01464	3	0.084	0.149	0.0057	0.016	0.041	0.131	0.01	0.015
0.021	0.0414	0.0484	0.1425	0.0102	0.034	0.0796	0.127	927	100	980	0.07	3.5915	0.00768	0	0.086	0.135	0.0079	0.011	0.042	0.118	0.014	0.011
